Year,Disease,Gender,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2015,Chlamydia,Female,887,325.92,N/A,338.18,N/A
2015,Cholera,Female,0,0.00,N/A,0.01,N/A
2015,Creutzfeldt-Jakob Disease,Female,1,0.37,N/A,0.07,N/A
2015,Cryptosporidiosis,Female,6,2.20,N/A,2.90,N/A
2015,Cyclosporiasis,Female,8,2.94,N/A,2.15,N/A
2015,Diphtheria,Female,0,0.00,N/A,0.00,N/A
2015,Food Poisoning (all causes),Female,0,0.00,N/A,0.42,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),Female,0,0.00,N/A,0.00,N/A
2015,Encephalitis/Meningitis,Female,8,2.94,N/A,2.70,N/A
2015,Giardiasis,Female,18,6.61,N/A,7.04,N/A
2015,Gonorrhea,Female,78,28.66,N/A,28.45,N/A
2015,"Group A Streptococcal disease, invasive",Female,10,3.67,N/A,3.86,N/A
2015,"Group B Streptococcal disease, neonatal",Female,2,0.73,N/A,0.27,N/A
2015,"Haemophilus influenzae disease, all types",Female,0,0.00,N/A,0.06,N/A
2015,Hantavirus pulmonary syndrome,Female,0,0.00,N/A,0.00,N/A
2015,Hemorrhagic fevers and Lassa fever,Female,0,0.00,N/A,0.00,N/A
2015,Hepatitis A,Female,1,0.37,N/A,0.46,N/A
2015,Hepatitis B (acute),Female,0,0.00,N/A,0.36,N/A
2015,Hepatitis B (chronic),Female,23,8.45,N/A,12.30,N/A
2015,Hepatitis C,Female,45,16.53,N/A,23.90,N/A
2015,HIV,Female,1,0.37,N/A,2.03,N/A
2015,Influenza,Female,194,71.28,N/A,79.45,N/A
2015,Legionellosis,Female,5,1.84,N/A,0.62,N/A
2015,Leprosy,Female,0,0.00,N/A,0.06,N/A
2015,Listeriosis,Female,1,0.37,N/A,0.56,N/A
2015,Lyme Disease,Female,4,1.47,N/A,2.87,N/A
2015,Measles,Female,0,0.00,N/A,0.14,N/A
2015,Tularemia,Female,0,0.00,N/A,0.00,N/A
2015,Typhoid Fever/Paratyphoid Fever,Female,1,0.37,N/A,0.86,N/A
2015,Verotoxin-producing E. coli,Female,9,3.31,N/A,1.36,N/A
2015,Yersiniosis,Female,7,2.57,N/A,1.61,N/A
2015,"Meningococcal disease, invasive",Female,2,0.73,N/A,0.20,N/A
2015,Mpox,Female,0,0.00,N/A,0.00,N/A
2015,Mumps,Female,0,0.00,N/A,0.14,N/A
2015,Ophthalmia Neonatorum,Female,0,0.00,N/A,0.01,N/A
2015,Paralytic Shellfish Poisoning,Female,0,0.00,N/A,0.00,N/A
2015,Pertussis,Female,13,4.78,N/A,5.10,N/A
2015,Poliomyelitis (polio) and Acute Flaccid Paralysis,Female,0,0.00,N/A,0.00,N/A
2015,Powassan Virus,Female,0,0.00,N/A,0.00,N/A
2015,Psittacosis/Ornithosis,Female,0,0.00,N/A,0.00,N/A
2015,Q Fever,Female,0,0.00,N/A,0.06,N/A
2015,Rabies,Female,0,0.00,N/A,0.00,N/A
2015,Rubella,Female,0,0.00,N/A,0.00,N/A
2015,"Rubella, congenital syndrome",Female,0,0.00,N/A,0.00,N/A
2015,Salmonellosis,Female,56,20.58,N/A,21.49,N/A
2015,Severe acute respiratory syndrome (SARS),Female,0,0.00,N/A,0.00,N/A
2015,Shigellosis,Female,6,2.20,N/A,1.48,N/A
2015,Smallpox,Female,0,0.00,N/A,0.00,N/A
2015,"Streptococcus Pneumoniae, Invasive ",Female,27,9.92,N/A,6.91,N/A
2015,Syphilis - Early Congenital,Female,0,0.00,N/A,0.01,N/A
2015,Syphilis - Infectious,Female,5,1.84,N/A,0.60,N/A
2015,Syphilis - Late Latent,Female,5,1.84,N/A,2.87,N/A
2015,Tetanus,Female,0,0.00,N/A,0.00,N/A
2015,Trichinosis,Female,0,0.00,N/A,0.00,N/A
2015,Tuberculosis (active),Female,7,2.57,N/A,3.98,N/A
2015,Tuberculosis (latent),Female,200,73.49,N/A,69.75,N/A
2015,Syphilis - Other,Female,2,0.73,N/A,0.22,N/A
