Year,Disease,WR Count,WR Rate per 100000,WR 5 Year Average Rate,ON Rate per 100000,ON 5 Year Average Rate
2016,"Group B Streptococcal disease, neonatal",1,0.17,N/A,0.36,N/A
2016,"Haemophilus influenzae disease, all types",0,0,N/A,0.03,N/A
2016,Hantavirus pulmonary syndrome,0,0,N/A,0,N/A
2016,Hemorrhagic fevers and Lassa fever,0,0,N/A,0,N/A
2016,Hepatitis A,6,1.01,N/A,0.74,N/A
2016,Hepatitis B (acute),7,1.25,N/A,0.74,N/A
2016,Hepatitis B (chronic),72,12.97,N/A,14.52,N/A
2016,Hepatitis C,119,21.41,N/A,32.19,N/A
2016,HIV,19,3.44,N/A,6.12,N/A
2016,Influenza,471,84.74,N/A,102.09,N/A
2016,Legionellosis,10,1.87,N/A,1,N/A
2016,Leprosy,1,0.17,N/A,0.04,N/A
2016,Listeriosis,1,0.19,N/A,0.65,N/A
2016,Lyme Disease,4,0.7,N/A,2.84,N/A
2016,Measles,0,0,N/A,0.05,N/A
2016,Tularemia,0,0,N/A,0,N/A
2016,Typhoid Fever/Paratyphoid Fever,1,0.19,N/A,0.73,N/A
2016,Verotoxin-producing E. coli,7,1.24,N/A,1.26,N/A
2016,Yersiniosis,11,1.98,N/A,1.87,N/A
2016,"Meningococcal disease, invasive",0,0,N/A,0.2,N/A
2016,Mpox,0,0,N/A,0,N/A
2016,Mumps,1,0.17,N/A,0.29,N/A
2016,Ophthalmia Neonatorum,0,0,N/A,0.03,N/A
2016,Paralytic Shellfish Poisoning,0,0,N/A,0,N/A
2016,Pertussis,13,2.26,N/A,3.43,N/A
2016,Poliomyelitis (polio) and Acute Flaccid Paralysis,1,0.18,N/A,0.05,N/A
2016,Powassan Virus,0,0,N/A,0,N/A
2016,Psittacosis/Ornithosis,0,0,N/A,0,N/A
2016,Q Fever,1,0.2,N/A,0.06,N/A
2016,Rabies,0,0,N/A,0,N/A
2016,Rubella,0,0,N/A,0,N/A
2016,"Rubella, congenital syndrome",0,0,N/A,0,N/A
2016,Salmonellosis,126,22.63,N/A,22.41,N/A
2016,Severe acute respiratory syndrome (SARS),0,0,N/A,0,N/A
2016,Shigellosis,9,1.61,N/A,2.65,N/A
2016,Smallpox,0,0,N/A,0,N/A
2016,"Streptococcus Pneumoniae, Invasive ",56,10.45,N/A,7.45,N/A
2016,Syphilis - Early Congenital,0,0,N/A,0.01,N/A
2016,Syphilis - Infectious,18,3.26,N/A,10.68,N/A
2016,Syphilis - Late Latent,18,3.28,N/A,4.92,N/A
2016,Tetanus,0,0,N/A,0.01,N/A
2016,Trichinosis,0,0,N/A,0.05,N/A
2016,Tuberculosis (active),11,2.03,N/A,4.46,N/A
2016,Tuberculosis (latent),321,57.01,N/A,57.79,N/A
2016,Syphilis - Other,3,0.54,N/A,0.39,N/A
2016,West Nile virus (WNv),0,0,N/A,0.39,N/A
2017,AIDS,2,0.39,N/A,0.46,N/A
2017,Amebiasis,14,2.54,N/A,5.12,N/A
2017,Anaplasmosis,0,0,N/A,0,N/A
2017,Anthrax,0,0,N/A,0,N/A
2017,Babesiosis,0,0,N/A,0,N/A
2017,Blastomycosis,1,0.2,N/A,0.03,N/A
2017,Botulism,0,0,N/A,0,N/A
2017,Brucellosis,0,0,N/A,0.01,N/A
2017,Campylobacter enteritis,163,28.92,N/A,24.42,N/A
2017,Chancroid,0,0,N/A,0,N/A
2017,Chickenpox (Varicella),5,0.88,N/A,2.01,N/A
2017,Chlamydia,1760,292.14,N/A,321.2,N/A
2017,Cholera,0,0,N/A,0.03,N/A
2017,Creutzfeldt-Jakob Disease,1,0.18,N/A,0.06,N/A
2017,Cryptosporidiosis,12,2.03,N/A,2.83,N/A
2017,Cyclosporiasis,7,1.23,N/A,2.08,N/A
2017,Diphtheria,0,0,N/A,0,N/A
2017,Food Poisoning (all causes),0,0,N/A,0.41,N/A
2017,Carbapenemase-producing Enterobacteriaceae (CPE),0,0,N/A,0,N/A
2017,Encephalitis/Meningitis,22,3.86,N/A,3.25,N/A
2017,Giardiasis,44,7.83,N/A,10.12,N/A
2017,Gonorrhea,368,62.68,N/A,56.68,N/A
2017,"Group A Streptococcal disease, invasive",27,4.82,N/A,6.52,N/A
2017,"Group B Streptococcal disease, neonatal",4,0.66,N/A,0.38,N/A
2017,"Haemophilus influenzae disease, all types",0,0,N/A,0.05,N/A
2017,Hantavirus pulmonary syndrome,0,0,N/A,0,N/A
2017,Hemorrhagic fevers and Lassa fever,0,0,N/A,0,N/A
2017,Hepatitis A,3,0.51,N/A,0.91,N/A
2017,Hepatitis B (acute),3,0.54,N/A,0.7,N/A
2017,Hepatitis B (chronic),81,14.41,N/A,14.91,N/A
2017,Hepatitis C,139,24.5,N/A,35.18,N/A
2017,HIV,12,2.04,N/A,6.03,N/A
2017,Influenza,377,67.18,N/A,79.12,N/A
2017,Legionellosis,13,2.39,N/A,1.39,N/A
2017,Leprosy,0,0,N/A,0.02,N/A
2017,Listeriosis,0,0,N/A,0.35,N/A
2017,Lyme Disease,10,1.74,N/A,7.29,N/A
2017,Measles,0,0,N/A,0.05,N/A
2017,Tularemia,0,0,N/A,0.01,N/A
2017,Typhoid Fever/Paratyphoid Fever,6,1.05,N/A,0.99,N/A
2017,Verotoxin-producing E. coli,6,1.03,N/A,0.92,N/A
2017,Yersiniosis,15,2.55,N/A,2.03,N/A
2017,"Meningococcal disease, invasive",1,0.18,N/A,0.21,N/A
2017,Mpox,0,0,N/A,0,N/A
2017,Mumps,10,1.69,N/A,1.88,N/A
2017,Ophthalmia Neonatorum,0,0,N/A,0.03,N/A
2017,Paralytic Shellfish Poisoning,0,0,N/A,0,N/A
2017,Pertussis,15,2.54,N/A,4.28,N/A
2017,Poliomyelitis (polio) and Acute Flaccid Paralysis,1,0.17,N/A,0.03,N/A
2017,Powassan Virus,0,0,N/A,0,N/A
2017,Psittacosis/Ornithosis,0,0,N/A,0,N/A
2017,Q Fever,1,0.17,N/A,0.06,N/A
2017,Rabies,0,0,N/A,0,N/A
2017,Rubella,0,0,N/A,0,N/A
2017,"Rubella, congenital syndrome",0,0,N/A,0,N/A
2017,Salmonellosis,91,15.9,N/A,19.46,N/A
2017,Severe acute respiratory syndrome (SARS),0,0,N/A,0,N/A
2017,Shigellosis,6,1.03,N/A,2.2,N/A
2017,Smallpox,0,0,N/A,0,N/A
2017,"Streptococcus Pneumoniae, Invasive ",53,9.64,N/A,7.68,N/A
2017,Syphilis - Early Congenital,0,0,N/A,0.01,N/A
2017,Syphilis - Infectious,23,3.91,N/A,11.77,N/A
2017,Syphilis - Late Latent,17,2.96,N/A,4.81,N/A
2017,Tetanus,0,0,N/A,0.02,N/A
2017,Trichinosis,0,0,N/A,0.03,N/A
2017,Tuberculosis (active),31,5.31,N/A,4.68,N/A
