OBJECTID,SANDRAINAGEAREAID,LAYER,LEVEL_NUM,LEVEL_NAME,LEVEL1,LEVEL2,LEVEL3,LEVEL4,DRAIN_FLOW,CATEGORY,SUBCATEGORY,STATUS,SOURCE,SOURCE_DATE,Shape__Area,Shape__Length
1101,2090854,Level 3_Upper Doon,3,LOWER SCHNEIDER - UPPER DOON,Schneider,Lower Schneider, , ,Schneider < Lower Schneider <,SUB AREA,Upper Doon,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,9994522.67578125,17491.6616779688
1102,2090821,Level 3_Lower Schneider Direct,3,LOWER SCHNEIDER - LOWER SCHNEIDER DIRECT,Schneider,Lower Schneider, , ,Schneider < Lower Schneider <,SUB AREA,Lower Schneider Direct,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,12726358.0429688,29725.2891819704
1103,2090818,Level 3_Strasburg Direct,3,STRASBURG - STRASBURG DIRECT,Schneider,Strasburg, , ,Schneider < Strasburg <,SUB AREA,Strasburg Direct,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,4605088.546875,12223.2234291365
1104,2090823,Level 3_Victoria,3,UPPER SCHNEIDER - VICTORIA,Schneider,Upper Schneider, , ,Schneider < Upper Schneider <,SUB AREA,Victoria,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,4297891.953125,14481.4450625824
1105,2090829,Level 3_Upper Schneider Direct,3,UPPER SCHNEIDER - UPPER SCHNEIDER DIRECT,Schneider,Upper Schneider, , ,Schneider < Upper Schneider <,SUB AREA,Upper Schneider Direct,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,10017343.8867188,30859.8875866358
1106,2094921,Level 3_Doon South,3,LOWER SCHNEIDER - DOON SOUTH,Schneider,Lower Schneider,Doon South,,Schneider < Lower Schneider <,SUB AREA,Doon South,ACTIVE,,,8851196.30859375,20493.3645538036
1107,2090832,Level 3_Downtown East,3,UPPER SCHNEIDER - DOWNTOWN EAST,Schneider,Upper Schneider, , ,Schneider < Upper Schneider <,SUB AREA,Downtown East,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,2495922.0078125,15034.7828302446
1108,2090856,Level 4_Biehn,4,BIEHN,Schneider,Strasburg,South Strasburg Major, ,Schneider < Strasburg < South Strasburg A <,SUB AREA,Biehn,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,4816804.27734375,11640.9421176505
1109,2090817,Level 4_Victoria North,4,MONTGOMERY - VICTORIA NORTH,Schneider,Montgomery,Manchester, ,Schneider < Montgomery < Manchester <,SUB AREA,Victoria North,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,14921222.8125,30272.8999470093
1110,2090840,Level 3_North Strasburg,3,STRASBURG - NORTH STRASBURG,Schneider,Strasburg, , ,Schneider < Strasburg <,SUB AREA,North Strasburg,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,9420131.77734375,23452.012790554
1111,2090843,Level 3_Balzer,3,LOWER SCHNEIDER - BALZER,Schneider,Lower Schneider, , ,Schneider < Lower Schneider <,SUB AREA,Balzer,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,5793223.1484375,14233.7867794294
1112,2090844,Level 3_Trillium,3,LOWER SCHNEIDER - TRILLIUM,Schneider,Lower Schneider, , ,Schneider < Lower Schneider <,SUB AREA,Trillium,ACTIVE,ENGINEERING,5/15/2014 12:00:00 AM,4980504.90625,14880.9568785529
